track_name,track_id,Danceability,Energy,Acousticness,Valence,Key
Mountain Sound,60ZGteAEtPCnGE6zevgUcd,0.395,0.896,0.0513,0.35,1.0
All I Ever Wanted,149kdyQwLdqHBjXbbNS7FY,0.552,0.907,0.0525,0.57,2.0
Don't Stop the Party,2tdseeP2TePM98X6Jcwf1C,0.714,0.952,0.0073,0.958,4.0
Forever Young,4S1VYqwfkLit9mKVY3MXoo,0.489,0.483,0.42,0.334,9.0
The Drop,3xIwnKhZxWxKcecqrfXBJj,0.689,0.879,0.104,0.544,0.0
Hot Pursuit - Dead Battery Remix,19ayyJLKWE9fTMrDBPzsg8,0.555,0.938,0.000855,0.165,11.0
Watercolour,5ami95W9OOWQPwrBb5tud5,0.421,0.896,0.000174,0.183,5.0
Hold On - Sub Focus Remix,6pazDyDn0XF0te3wSjozhC,0.382,0.928,0.00676,0.0571,7.0
Numb/Encore,56CShFBzzmlevmTIkXRCCr,0.684,0.787,0.0548,0.765,2.0
Nothing Inside,2MU2PKI25tg0PM7SSnxvka,0.412,0.737,0.0346,0.392,9.0
Show You - Original Mix,0wlG1xpRozHe3jmIzK5Nhm,0.488,0.926,0.0161,0.346,7.0
Raindrops - Flinch Remix,4X3VVecJOhRO1TXThYNY2x,0.57,0.918,0.00579,0.467,7.0
"Boulevard Of Broken Dreams - feat. John Gallagher Jr., Rebecca Naomi Jones, Stark Sands, Company [Album Version]",41pFyxOpS119Pb8JEzhx0w,0.417,0.647,0.0569,0.331,8.0
Secrets,1NhPKVLsHhFUHIOZ32QnS2,0.515,0.767,0.098,0.393,2.0
Brainless,5jPMcL5mNq82zfRVplSpxG,0.71,0.938,0.166,0.573,9.0
For the First Time,09ZcYBGFX16X8GMDrvqQwt,0.396,0.629,0.0328,0.364,9.0
Stars Come Out - Terravita Remix,0BflAoJWDrnEkHbaO5KwXP,0.63,0.871,0.000569,0.458,5.0
Give Me Everything,3QFbOgWOqXEtOD02FMcX7K,0.673,0.934,0.161,0.486,3.0
Sleepless - Radio Edit,15uFqHGAOvaGCqikvgiW6w,0.722,0.635,0.141,0.532,6.0
What,4umWM9ajmlpIOP5UnxTgnF,0.55,0.975,0.000258,0.322,2.0
Five Hours,6zlOUIqcU6juXFww9UNpJK,0.88,0.821,0.0197,0.576,5.0
Ghosts 'n' Stuff - Nero Mix,1cQVQ3a5ivU9NVkr1nUvES,0.491,0.536,0.000238,0.0571,3.0
Apologize,1NrJYpdAi7uosDRPmSYrsG,0.59,0.731,0.334,0.502,8.0
Wake Me Up,4h8VwCb1MTGoLKueQ1WgbD,0.518,0.784,0.00346,0.609,2.0
Cyclone,27mhCGdAA8gM7b33KIiB3k,0.641,0.72,0.0102,0.574,11.0
In The Ayer (feat. will.I.am),6RpiAj9Ofv0Uqp6n2OuRoh,0.83,0.746,0.00456,0.652,5.0
I Will Never Let You Down,2ia7iiEtpiOL2ZVuWxBZGB,0.753,0.801,0.403,0.787,4.0
Ain't It Fun,1j8z4TTjJ1YOdoFEDwJTQa,0.61,0.893,0.154,0.666,9.0
Right In,1LV5G400jD3Ytvyv6Dlkym,0.636,0.802,0.00631,0.334,2.0
Whole Heart,4Z1t1aMRif8ES212kTN8H2,0.5,0.677,0.0427,0.208,9.0
"Hey, Soul Sister",0KpfYajJVVGgQ32Dby7e9i,0.675,0.885,0.217,0.775,1.0
Time Bomb (feat. Veela),6U7VUPf8d3K1dY0UNMdDXS,0.336,0.81,0.000479,0.222,11.0
Some Chords,1zFl7vjNX3JJ3gQR2vM3LU,0.788,0.423,5.37e-05,0.392,1.0
Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,0.707,0.924,0.000972,0.924,7.0
Thunder - Original Mix,092dz2yORKaJpC05ZlN9ME,0.661,0.885,0.00655,0.23,7.0
All I Ask Of You (feat. Pennybirdrabbit),1A3XPibNuMPTbTWlPgRfTD,0.774,0.909,0.0173,0.699,9.0
Janky,1CznhEsRgvhCjT2aw0e6f1,0.809,0.67,0.0288,0.496,1.0
Evacuate the Dancefloor - Radio Edit,1fvD4tBLGypUG0Tg2nHHus,0.76,0.694,0.0195,0.896,0.0
Lost in You,1uiwlmWedlNpzAxDSRGqdK,0.434,0.868,0.0199,0.371,9.0
Summit (feat. Ellie Goulding),1SbqxemPdwGlvmirtQVkCU,0.692,0.773,0.226,0.481,6.0
In My Eyes - Original Mix,1SCpAAw3towOivp0UoNiV1,0.509,0.802,0.0194,0.218,0.0
It's Time,6BtmXhTJMM9sBTHeYYASGz,0.656,0.879,0.0178,0.902,2.0
Acrylics,3GV1T0k3QDPKdZgdQUWiZc,0.632,0.845,0.00926,0.15,11.0
Thundergun,2XbF32Nwvi5Kz7BRR4cIGz,0.527,0.846,4.76e-05,0.0631,2.0
Good Life,6OtCIsQZ64Vs1EbzztvAv4,0.636,0.699,0.0929,0.642,6.0
Sweet Nothing,24LS4lQShWyixJ0ZrJXfJ5,0.573,0.929,0.197,0.584,8.0
Forever - Album Version (Edited),2wDz70kiUyVKNSusLt7CNL,0.466,0.923,0.259,0.523,5.0
Probable Cause,7gv0mCxWB0XPZOpw7NZr2N,0.626,0.766,2.75e-05,0.331,5.0
Blind Faith,04OxTCLGgDKfO0MMA2lcxv,0.454,0.854,0.00416,0.38,9.0
I Can't Stop,03EuhmMsEHVFI9ytainStU,0.513,0.775,0.000672,0.211,0.0
Interplanetary - Original Mix,2gGIKneJlUPPJEOjhufEb1,0.557,0.971,0.0575,0.116,9.0
Many Ways - Radio Edit,0aBDrRTgDCwWbcOnEIp7DJ,0.581,0.64,0.0266,0.283,5.0
Empire State Of Mind,1tSjFlsXMVAyjmMRGxj2Lc,0.476,0.956,0.0246,0.794,11.0
Maps,0tJGzJjUVlEsn8s3Mn32Jb,0.737,0.723,0.0179,0.879,1.0
Rap God,35DgXvG6UmY7t8Oo7Puiq7,0.704,0.841,0.393,0.624,7.0
Coming Home,6ZuS5RntipgpizPwjdQ86V,0.351,0.832,0.17,0.225,7.0
Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,0.316,0.945,0.00895,0.303,4.0
Jah No Partial (feat. Flux Pavilion),6MqW785UN5QF9UZ6ocL5s9,0.584,0.938,0.000501,0.39,6.0
Lines in Wax (feat. Foreign Beggars),40jr6hmQNFJFGjllxEFMPX,0.657,0.958,0.00187,0.695,11.0
Graduation,5Ws6jxX9qRFJHHsXN71RXI,0.428,0.689,0.00315,0.0501,7.0
Dum Dee Dum,5BRrBkpj0An7PViNqMCoGa,0.755,0.891,0.273,0.517,7.0
Cozza Frenzy,0hXHaInitAHX93BwakWT3k,0.521,0.961,0.000348,0.228,1.0
In The Beginning,2WYkDJcSDSRoTWvylucBf4,0.675,0.85,0.00655,0.0605,1.0
Don't You Worry Child (Radio Edit) [feat. John Martin],2V65y3PX4DkRhy1djlxd9p,0.612,0.84,0.112,0.441,11.0
I Don't Wanna Love You,0nq0Uc8fH2KXrOvoDP9Ppz,0.54,0.658,0.0215,0.27,4.0
Monody (feat. Laura Brehm),3VvBPkc24zC7x05mgJTyGO,0.53,0.69,0.114,0.217,1.0
I Just Wanna Run,2S4CfxZG29GZWwDeMtBq2R,0.669,0.667,0.00769,0.684,4.0
Lord Knows - Album Version (Edited),5bNmq4OYWW0biHGJp6MA55,0.358,0.877,0.0625,0.308,5.0
